标题,来源,时间,问题,回答
请问贵校重点学科是那些？,pz*** (黑龙江),2006-05-17 15:23,请问贵校重点学科是那些？二表／三表收费怎样？,[我校是一所以林科为优势，以林业工程为特色，农、理、工、经、管、文、法相结合的多科性大学。现设有16个学院和2个部，有5个博士后科研流动站、4个一级学科博士点、32个二级学科博士点、10个一级学科硕士点、75个二级学科硕点、3个种类8个领域的专业学位硕士点和57个本科专业。学校拥有6个国家重点学科和19个省、部重点学科，有教育部和国家计委批准的国家生命科学与技术人才培养基地、教育部批准的理科基础科学研究与教学人才培养基地（生物学）。国家级重点学科野生动植物保护与利用学科植物学学科木材科学与技术学科生态学学科森林保护学学科森林工程学科省部级重点学科森林培育、林木遗传育种、林业经济管理、机械设计及理论、森林经理学、林产化学加工工程、控制理论与控制工程、道路与铁路工程、载运工具与运用工程、园林植物与观赏园艺、环境与资源保护法学、会计学、动物学、企业管理2006年东北林业大学本科硕士博士专业一览表学院本科专业学位硕士点博士点野生动物资源学院野生动物与自然保护区管理农学野生动植物保护与利用、动物学、自然保护区学、特种经济动物饲养、生理学、水生生物学、旅游管理、管理科学与工程、动物遗传育种与繁殖野生动植物保护与利用、自然保护区学野生动物与自然保护区管理（动物科学）农学动物医学农学旅游管理（生态旅游）管理学机电工程学院机械设计制造及其自动化工学机械设计及理论、机械电子工程、控制理论与控制工程、农业电气化与自动化、检测技术与自动化装置、农业机械化工程、计算机应用技术机械设计及理论机械设计制造及其自动化（机械电子工程）工学通信工程(通信安全)工学通信工程工学电气工程及其自动化工学自动化工学工业设计工学林学院林学农学森林培育、森林经理学、森林保护学、水土保持与荒漠化防治、林木遗传育种、森林植物资源学、生态学、植物学、土壤学、环境科学、园林植物与观赏园艺、森林生物工程、遗传学、微生物学、植物营养学、食品科学、计算机应用技术森林培育、森林经理学、森林保护学、水土保持与荒漠化防治、林木遗传育种、森林植物资源学、生态学、植物学、园林植物与观赏园艺、森林生物工程、遗传学地理信息系统理学食品科学与工程工学环境科学理学森林资源保护与游憩农学材料科学与工程学院木材科学与工程工学木材科学与技术、生物材料工程、林产化学加工工程、高分子化学与物理、应用化学、制浆造纸工程、设计艺术学林产化学加工工程、木材科学与技术、生物材料工程木材科学与工程（家具设计制造与室内设计）工学高分子材料与工程工学林产化工工学轻化工程工学艺术设计（室内与家具设计）文学土木工程学院土木工程工学林区交通工程、桥梁与隧道工程、道路与铁道工程、结构工程、管理科学与工程、设计艺术学、城市规划与设计林区交通工程城市规划工学工程管理管理学建筑环境与设备工程工学工程技术学院森林工程工学森林工程、机械设计及理论、林区交通工程、管理科学与工程森林工程、机械设计及理论、林区交通工程物流工程工学工业工程工学包装工程工学工程管理（国际工程管理）管理学理学院数学与应用数学理学应用数学、统计学、生态学、生物物理学、检测技术与自动化装置、机械电子工程、高分子化学与物理、应用化学、生物材料工程、林产化学加工工程、药物化学、生药学、计算机应用技术、森林经理学生态学、森林经理学、生物材料工程、林产化学加工工程物理理学化学理学化学工程与工艺工学应用化学理学信息与计算机工程学院计算机科学与技术工学计算机应用技术、控制理论与控制工程、机械设计及理论、农业电气化与自动化、机械电子工程、森林经理学、检测技术与自动化装置机械设计及理论、森林经理学电子信息工程工学信息管理与信息系统管理学计算机科学与技术(信息安全专业)工学人文社会科学学院法学法学马克思主义基本原理、思想政治教育、行政管理、企业管理、环境与资源保护法学、马克思主义中国化研究、管理科学与工程、设计艺术学思想政治教育政治学与行政学法学社会工作法学广告学文学外国语学院英语文学英语语言文学、外国语言学及应用语言学　日语文学俄语文学生命科学学院生物科学理学森林生物工程、发育生物学、细胞生物学、微生物学、遗传学、生物化学与分子生物学、生物物理学、植物学、野生动植物保护与利用、生态学、森林保护学、森林培育、林木遗传育种、动物学、生理学、水生生物学、特种经济动物饲养、生药学森林生物工程、发育生物学、遗传学、生物化学与分子生物学、植物学、野生动植物保护与利用、生态学、森林保护学、森林培育、林木遗传育种生物技术理学生命科学理学园林学院园林农学园林植物与观赏园艺、植物学、城市规划与设计、设计艺术学园林植物与观赏园艺、植物学园林（风景园林）工学艺术设计（环境艺术）文学经济管理学院统计学经济学企业管理、林业经济管理、统计学、管理科学与工程、行政管理、农业经济管理、国际贸易学、会计学、人口资源与环境经济学林业经济管理、农业经济管理国际经济与贸易经济学会计学管理学工商管理管理学市场营销管理学公共事业管理管理学农林经济管理管理学交通运输工程学院交通运输类工学载运工具运用工程、交通信息工程及控制、道路与铁道工程、林区交通工程、控制理论与控制工程、机械设计及理论载运工具运用工程、林区交通工程、机械设计及理论森林植物生态学教育部重点实验室植物学、生药学、生物化学与分子生物学、药物化学植物学、生物化学与分子生物学
55,wi*** (山西),2006-05-17 14:51,老师您好！我是山西理科考生，请问：1.贵校在山西录取分数一般需多少分？如今年我考分能上了一本线并且报了计算机科学与技术、电子信息工程、土木工程专业能否被贵校录取？2.贵校什么专业相对录取分数高一些？什么专业相对录取分数低一些？谢谢！,[以下为我校在山西省2005年录取的最高分、最低分、平均分数及省控线一览表，你可以做以下参考：山西省2005年资料专业名称分段最高分最低分平均分一志愿率录取人数野生动物与自然保护区管理532551532540.525%4通信工程（通信安全）532536533534.5100%2电气工程及其自动化532546539542.5100%2林学532536532534100%2地理信息系统532540537538.502环境科学532543535539100%2动物医学532537533535100%2旅游管理（生态旅游）（文史）534545537541100%2机械设计制造及其自动化535536534535100%2机械设计制造（机械电子工程）532538536537100%2森林资源保护与游憩532545533539100%2高分子材料与工程532545541543100%2轻化工程532541536538100%3统计学53254553554050%2土木工程532540533536.3100%4城市规划532544542543100%2工程管理53255253453925%4化学532544538541100%2建筑环境与设备工程53253653253350%4工业工程532537535536100%2工程管理（国际工程项目管理）532552545548.5100%2数学与应用数学532543539541100%2物理学532543540541.5100%2化学工程与工业532538538538100%2应用化学532541533537100%2计算机科学与技术532569532540.56.25%8电子信息工程专业532541536538.5100%5信息管理与信息系统53253653253450%2法学（文史）534543538540.5100%2政治学与行政学（文史）534537535536100%2广告学（文史）534540535537.5100%2园林（风景园林）532541540540.5100%2公共事业管理（文史）534537537537100%1英语（文史）534546538542100%2生物技术532543543543100%1园林532546541543.5100%2国际经济与贸易532547547547100%1国际经济与贸易（文史）534544544544100%1工商管理类532533533533100%2工商管理类（文史）534537536536.5100%2交通运输类532546533536.540%10化学工程与工艺532538538538100%2在我校录取工作为结束之前，我们不会对考分作任何预测，这也是对考生本人负责。希望在报考专业时可听取你办主任的意见，并根据自己的兴趣填报。欢迎报考东北林业大学！
今年是否在内蒙招文科生,jo*** (内蒙古),2006-05-17 12:56,谢谢,今年我校在内蒙古计划招收一批文史类考生34人，专科文史类考生54人，欢迎报考东北林业大学。
招生简章,xu*** (黑龙江),2006-05-17 09:29,老师您好，今年我和我同事的孩子都参加高考，想问一下能否给我寄l份贵校的招生简章，我们可以仔细的研究一下报考的专业.我的地址：哈尔滨动力区幸福路12号电机医院财务科，邮编150040。王永照收。谢谢您。,关于邮寄问题请于我校招生办联系，联系电话：0451-82192213。
湘籍艺术考生,3y*** (湖南),2006-05-16 16:00,请问贵校在湘招收艺术考生的专业成绩是否是依照湖南省联考成绩?谢谢!,[报考我校艺术类专业的考生，须根据所在省的相关规定参加该省统一联考，合格者方能最终报考我校。通过我校单独组织的专业（术科）测试的艺术类考生，应参加全国普通高等院校文化课统考，文史类和理工类考生数学成绩均计入总分。录取办法为：非黑龙江省考生专业（术科）测试合格者，按文化课成绩高低排名依次择优录取；黑龙江省考生术科达到省里本科控制线，按文化课从高分到低分择优录取。
你好,ev*** (河南),2005-07-12 15:47,请问如果贵校第一志愿不够是招收第一志愿重点线下的考生还是招收非第一志愿重点线上考生？？？？？？？？？,根据实际录取情况决定。
咨询,sh*** (广西),2005-07-11 15:50,老师，您好!我是广西的一名文科考生，我十分有志进贵校，我想把贵校填入第一批复征志愿的第一志愿，我的考分为546，我省一本线564，二本线504，请问我是否有望进入贵校?谢谢!,请登陆http://zfc.nefu.edu.cn/zsb查询录取结果。
我是中国人,20*** (黑龙江),2005-07-11 15:13,请问黑龙江理科生371分能去贵校的专科吗？,你被我校录取的可能性不大。
录取咨询,gu*** (北京),2005-07-11 15:08,您好！我是一名艺术类考生，省外报考北京服装学院服装设计系，省内报考贵校家具与室内设计系，省联考134分，高考363分，假如没有被北京服装学院录取，有没有希望被贵校录取？谢谢！,很抱歉，在录取结束前无法预测录取结果。
521,fe***ing (黑龙江),2005-07-10 15:04,老师你好！我是本省的考生，文科，我的高考成绩是288分，可能我没希望进贵校的本科三批，但是我真的很想进你们学校，哪怕多拿一些钱也可以，老师有没有办法啊？,你被我校录取的可能性不大。
您好,19*** (黑龙江),2005-07-10 14:11,我是黑龙江理科考生，打了500分，请问贵校专科今年招生有食品工程吗？专升本的几率多大？这个专业的学生就业情况怎么样？谢谢,我校专科专业没有食品工程专业。
请问,wo*** (黑龙江),2005-07-10 14:02,今年我省三表多少分才可以三表提档啊?谢谢老师,很抱歉，在录取结束前无法预测录取结果。
辽宁的,69*** (辽宁),2005-07-10 12:08,辽宁533分能被贵校一本B段录取吗????希望多大???辽宁1本530分,很抱歉，在录取结束前无法预测录取结果。
快!!!!,30*** (山西),2005-07-09 14:19,请问，今年在山西1B的分数线是多少,很抱歉，在录取结束前无法预测录取结果。
山西,30*** (山西),2005-07-09 14:13,请问，今年在山西招生的分数线大概是多少,很抱歉，在录取结束前无法预测录取结果。
416,52*** (黑龙江),2005-07-08 09:04,我黑龙江理科考生。416有希望进贵校高职专科吗？？？。,很抱歉，在录取结束前无法预测录取结果。
急,sh*** (河南),2005-07-07 16:08,能否自愿放弃投档,欢迎报考东北林业大学！
咨询,sh*** (河南),2005-07-07 16:04,能否自愿放弃投档，谢谢,欢迎报考东北林业大学！
询问,ko*** (黑龙江),2005-07-07 12:34,贵校今年3表分数段最低是多少？我的分数是443分，可以报贵校吗？如果不出国学费每年多少钱？,很抱歉，在录取结束前无法预测录取结果。
专科,69*** (黑龙江),2005-07-06 11:17,我是本省应届理科考生，我的高考分数是５１８分，请问报贵校专科有多大把握，能去一个什么样的专业　　　　　　　　　　　　　　　　　谢谢,你有被我校高职专业录取的可能，具体专业请根据自己的兴趣、爱好和特长选择。
报考,ha*** (河南),2005-07-06 10:28,报考贵校建筑系是否加试徒手画,你所说的建筑系不知道是否土木工程专业，如果是的话不需要加试徒手画。
咨询,gb*** (黑龙江),2005-07-05 16:17,我是本市考生494分三表报贵校能否进去,很抱歉，在录取结束前，无法预测录取结果。我校会在录取结束后的第一时间把录取结果公布在我办主页：http://61.180.240.51:8088/
